emoji,name,name_emotion,name_emotion_vec
🙋‍♂️,man raising hand,neutral,"[0.0031908962409943342, 0.0020638008136302233, 0.003405687864869833, 0.007416926324367523, 0.009485489688813686, 0.0011997357942163944, 0.0035408101975917816, 0.002153906738385558, 0.0010399350430816412, 0.003164158435538411, 0.0030225294176489115, 0.0024942471645772457, 0.0009375552763231099, 0.0022546013351529837, 0.00226573902182281, 0.0012485756305977702, 0.0005366504192352295, 0.0016439392929896712, 0.000948671018704772, 0.0004911241121590137, 0.0020860526710748672, 0.0003750046598725021, 0.0052281892858445644, 0.0003323218843434006, 0.000440833973698318, 0.0024432402569800615, 0.0014088604366406798, 0.9688693284988403]"
🙋🏻‍♂️,man raising hand: light skin tone,neutral,"[0.005098299123346806, 0.0017449702136218548, 0.002501029521226883, 0.005747651681303978, 0.015495950356125832, 0.0011709092650562525, 0.002755868248641491, 0.0019156282069161534, 0.0011754664592444897, 0.0030588547233492136, 0.0025270297192037106, 0.0028936327435076237, 0.0007926974212750793, 0.001985955983400345, 0.0019147497368976474, 0.001145359012298286, 0.0005275330040603876, 0.0014041801914572716, 0.0014650932280346751, 0.0003889272047672421, 0.002096918411552906, 0.0004019454063382, 0.0056912959553301334, 0.0003349226317368448, 0.0004788049845956266, 0.0026180336717516184, 0.001003752462565899, 0.9671952128410339]"
🙋🏼‍♂️,man raising hand: medium-light skin tone,neutral,"[0.004636297468096018, 0.0017848144052550197, 0.0027255192399024963, 0.006354097742587328, 0.01357016246765852, 0.0012648447882384062, 0.002506947610527277, 0.0016671306220814586, 0.0011901151156052947, 0.0033409055322408676, 0.002713161753490567, 0.002979706507176161, 0.0008862958056852221, 0.00198090891353786, 0.002170158550143242, 0.0012981707695871592, 0.0005831114831380546, 0.0014773013535887003, 0.001315947389230132, 0.00044261213042773306, 0.0022156790364533663, 0.0004207851307000965, 0.005977702792733908, 0.0003701086388900876, 0.0005293949507176876, 0.0029177700635045767, 0.0011015592608600855, 0.9681044816970825]"
🙋🏽‍♂️,man raising hand: medium skin tone,neutral,"[0.005189493764191866, 0.0017578268889337778, 0.0026468164287507534, 0.005973126273602247, 0.014416158199310303, 0.0012200460769236088, 0.0026167987380176783, 0.0018443684093654156, 0.0012338004307821393, 0.003232312388718128, 0.0025658048689365387, 0.003052354557439685, 0.0008242998737841845, 0.002112401183694601, 0.002151747699826956, 0.0012201047502458096, 0.0005687292432412505, 0.0014648449141532183, 0.0015139414463192225, 0.00041949586011469364, 0.0020381712820380926, 0.00041772492113523185, 0.005534663330763578, 0.00034969919943250716, 0.0004924822133034468, 0.0028268140740692616, 0.0010776710696518421, 0.9675698280334473]"
🙋🏾‍♂️,man raising hand: medium-dark skin tone,neutral,"[0.005210577044636011, 0.0016699527623131871, 0.0022315355017781258, 0.005455437116324902, 0.01642005890607834, 0.0011650881497189403, 0.002598943654447794, 0.001768373535014689, 0.0011897518998011947, 0.0031160954385995865, 0.0024025936145335436, 0.00291348691098392, 0.0008001012029126287, 0.0019658426754176617, 0.0020472509786486626, 0.0012547761434689164, 0.0005471715121529996, 0.0014107016613706946, 0.0014292321866378188, 0.0004137759970035404, 0.0022040787152945995, 0.0004137777432333678, 0.006415077950805426, 0.0003648783022072166, 0.000506795069668442, 0.002745929406955838, 0.001045566750690341, 0.9657323360443115]"
🙋🏿‍♂️,man raising hand: dark skin tone,neutral,"[0.0051160394214093685, 0.00166788708884269, 0.002194625325500965, 0.005381026770919561, 0.017506636679172516, 0.0011519819963723421, 0.0028588573914021254, 0.0019865825306624174, 0.0012272963067516685, 0.003054614644497633, 0.0022340125869959593, 0.0030515145044773817, 0.0008123654988594353, 0.0019074460724368691, 0.0020538344979286194, 0.0011091437190771103, 0.0005396704073064029, 0.0013014816213399172, 0.001532625057734549, 0.00040845334297046065, 0.002123448299244046, 0.00040144508238881826, 0.006607231684029102, 0.0003437924606259912, 0.0005001961253583431, 0.002742710057646036, 0.0010260556591674685, 0.96430504322052]"
🙋‍♀️,woman raising hand,neutral,"[0.003224446903914213, 0.0018554598791524768, 0.0031626219861209393, 0.006990473717451096, 0.00923264678567648, 0.001147987088188529, 0.003997554536908865, 0.002400490688160062, 0.0010671208146959543, 0.0031221627723425627, 0.0027371307369321585, 0.0024501618463546038, 0.000971123983617872, 0.0023033611942082644, 0.0023102324921637774, 0.0012852809159085155, 0.0005399209912866354, 0.0016345551703125238, 0.0009806420421227813, 0.0005099287373013794, 0.0019694422371685505, 0.00036986349732615054, 0.005400109104812145, 0.0003318811650387943, 0.00044275374966673553, 0.002421364188194275, 0.0014673733385279775, 0.9673212766647339]"
🙋🏻‍♀️,woman raising hand: light skin tone,neutral,"[0.005440067499876022, 0.0015884238528087735, 0.0020020916126668453, 0.005160007160156965, 0.018733719363808632, 0.001055785221979022, 0.0028070947155356407, 0.001901747309602797, 0.0010836621513590217, 0.0029308230150491, 0.0023599190171808004, 0.002908630296587944, 0.0007696053362451494, 0.0018424962181597948, 0.0018215557793155313, 0.0011230342788621783, 0.0004808316007256508, 0.0012676549376919866, 0.0014640145236626267, 0.00037060133763588965, 0.002087198430672288, 0.00038986135041341186, 0.00657721608877182, 0.00033695457386784256, 0.00046251295134425163, 0.002451821696013212, 0.0009781384142115712, 0.9635164141654968]"
🙋🏼‍♀️,woman raising hand: medium-light skin tone,neutral,"[0.005173333454877138, 0.001561214798130095, 0.002146689919754863, 0.005574020557105541, 0.017193976789712906, 0.0011434882180765271, 0.0025153968017548323, 0.0017016740748658776, 0.0011086182203143835, 0.0031844298355281353, 0.0024450193159282207, 0.0029557293746620417, 0.0008225254714488983, 0.0017742917407304049, 0.001982680056244135, 0.0012209871783852577, 0.0005357458139769733, 0.0012956581776961684, 0.0013710545608773828, 0.0004074334865435958, 0.0022164699621498585, 0.0003977873711846769, 0.006926983594894409, 0.00036682814243249595, 0.0005008199368603528, 0.002782217226922512, 0.0010220931144431233, 0.9645723700523376]"
🙋🏽‍♀️,woman raising hand: medium skin tone,neutral,"[0.005471635609865189, 0.0015549371019005775, 0.0021175926085561514, 0.005411422811448574, 0.01739382930099964, 0.0010787745704874396, 0.0026408026460558176, 0.00183117447886616, 0.0011461813701316714, 0.003114407416433096, 0.002368972171097994, 0.0030341113451868296, 0.0007800690364092588, 0.001956190913915634, 0.002035594778135419, 0.0011305086081847548, 0.0005085989832878113, 0.0013054580194875598, 0.0015087834326550364, 0.0003971052065026015, 0.002049147617071867, 0.0003970020916312933, 0.006307777017354965, 0.0003420108405407518, 0.0004554161278065294, 0.0026124627329409122, 0.0010428468231111765, 0.9642123579978943]"
🙋🏾‍♀️,woman raising hand: medium-dark skin tone,neutral,"[0.005742196459323168, 0.0014633872779086232, 0.001678997534327209, 0.004644170869141817, 0.02166805975139141, 0.0010239030234515667, 0.0027765354607254267, 0.0018542001489549875, 0.0010798752773553133, 0.0029302460607141256, 0.0021853174548596144, 0.002788054756820202, 0.0007249082555063069, 0.0017257286235690117, 0.0017997564282268286, 0.0011838976060971618, 0.00048557616537436843, 0.0012160416226834059, 0.0015053792158141732, 0.0003757603408303112, 0.002232795115560293, 0.00038465438410639763, 0.007732841186225414, 0.00035736337304115295, 0.00047644664300605655, 0.0025339864660054445, 0.0009786911541596055, 0.9599701762199402]"
🙋🏿‍♀️,woman raising hand: dark skin tone,neutral,"[0.0051207575015723705, 0.0015821567503735423, 0.0018734229961410165, 0.00502933980897069, 0.020177338272333145, 0.0010306892218068242, 0.0030316822230815887, 0.0019804849289357662, 0.0011326962849125266, 0.003030880820006132, 0.0021878944244235754, 0.0030961371958255768, 0.0008129768539220095, 0.0017612174851819873, 0.0019941667560487986, 0.0010547186248004436, 0.0005056758527643979, 0.0012104391353204846, 0.0015552056720480323, 0.0004019990155939013, 0.0020853120367974043, 0.0003836244868580252, 0.00769696943461895, 0.00034618546487763524, 0.000479957670904696, 0.0026726946234703064, 0.0010165073908865452, 0.9607541561126709]"
🧏,deaf person,neutral,"[0.003372813109308481, 0.0020937714725732803, 0.0031446171924471855, 0.010840888135135174, 0.016050497069954872, 0.001904660020954907, 0.002494282554835081, 0.0013868528185412288, 0.0012031600344926119, 0.010114215314388275, 0.003700138768181205, 0.007181884720921516, 0.002470792504027486, 0.0009835107484832406, 0.005484036635607481, 0.0007710783393122256, 0.0017451579915359616, 0.0015432238578796387, 0.0015605139778926969, 0.0014317400055006146, 0.0015252415323629975, 0.0005027647712267935, 0.01144381519407034, 0.0007929296116344631, 0.001312703243456781, 0.021342532709240913, 0.0010349478106945753, 0.9345164895057678]"
🧏🏻,deaf person: light skin tone,neutral,"[0.0042073591612279415, 0.0015523768961429596, 0.001987941563129425, 0.008880042470991611, 0.03193049132823944, 0.0017359325429424644, 0.0023663740139454603, 0.0011234355624765158, 0.0011437758803367615, 0.008827189914882183, 0.004185976926237345, 0.0058286236599087715, 0.0016837670700624585, 0.000744110147934407, 0.0034378916025161743, 0.0007018044707365334, 0.0011080914409831166, 0.0009782429551705718, 0.0015047502238303423, 0.0008887896547093987, 0.002114325761795044, 0.000467013189336285, 0.015626652166247368, 0.0007233407814055681, 0.0012022851733490825, 0.01227551233023405, 0.0005971956416033208, 0.9383888840675354]"
🧏🏼,deaf person: medium-light skin tone,neutral,"[0.003957327920943499, 0.0016780346632003784, 0.0024612341076135635, 0.01135666947811842, 0.025186268612742424, 0.0022917173337191343, 0.0021942462772130966, 0.001166050205938518, 0.0014096596278250217, 0.012395587749779224, 0.004700000397861004, 0.007885005325078964, 0.00227042636834085, 0.0007331842207349837, 0.004619044251739979, 0.0007313046953640878, 0.0016172219766303897, 0.0010013703722506762, 0.001579434610903263, 0.0012236941838636994, 0.0019916233140975237, 0.0004913592129014432, 0.015481981448829174, 0.0008523510186932981, 0.0015364856226369739, 0.02067004330456257, 0.000679373275488615, 0.9370587468147278]"
🧏🏽,deaf person: medium skin tone,neutral,"[0.004045871086418629, 0.0016233294736593962, 0.0021660795900970697, 0.009274499490857124, 0.025615129619836807, 0.0017936177318915725, 0.0023648040369153023, 0.0011955371592193842, 0.0011879423400387168, 0.00909738801419735, 0.004084437154233456, 0.0062401206232607365, 0.0017921593971550465, 0.0008079528342932463, 0.003934712149202824, 0.0007806727662682533, 0.0012208318803459406, 0.0010688126785680652, 0.0015697141643613577, 0.0009590617846697569, 0.00187905493658036, 0.0004658722900785506, 0.013503242284059525, 0.0007243661093525589, 0.0012180714402347803, 0.013504741713404655, 0.0006841626018285751, 0.9415358304977417]"
🧏🏾,deaf person: medium-dark skin tone,neutral,"[0.004045127425342798, 0.0018750883173197508, 0.002196867484599352, 0.010437608696520329, 0.028300359845161438, 0.002347036963328719, 0.002363838953897357, 0.001282744575291872, 0.0015120030147954822, 0.01225248258560896, 0.004404033068567514, 0.008443535305559635, 0.002271295990794897, 0.0007318118587136269, 0.004935815930366516, 0.0006988527602516115, 0.0018174361903220415, 0.0010936851613223553, 0.001924840034916997, 0.0013383184559643269, 0.001843865611590445, 0.000499862537253648, 0.01672610640525818, 0.000921269878745079, 0.0016283030854538083, 0.025723079219460487, 0.0006651388830505311, 0.9252131581306458]"
🧏🏿,deaf person: dark skin tone,neutral,"[0.004037149250507355, 0.001570551423355937, 0.001993440091609955, 0.008465220220386982, 0.032745059579610825, 0.001749980146996677, 0.0026045499835163355, 0.0012063380563631654, 0.001144886133261025, 0.008239693008363247, 0.0038433780428022146, 0.005852246191352606, 0.0016660453984513879, 0.0007357180002145469, 0.0036496834363788366, 0.0007018930627964437, 0.0011688570957630873, 0.0010169384768232703, 0.001669223071075976, 0.0009215679601766169, 0.0020228105131536722, 0.00045998170389793813, 0.0163506381213665, 0.0007300378056243062, 0.0012212494621053338, 0.013498460873961449, 0.0006322242552414536, 0.9332241415977478]"
🧏‍♂️,deaf man,neutral,"[0.0038883457891643047, 0.0021030628122389317, 0.002459687879309058, 0.008009329438209534, 0.01740255206823349, 0.0014760603662580252, 0.0022262204438447952, 0.0011995501117780805, 0.0011829129653051496, 0.005541255231946707, 0.0031069195829331875, 0.004606739617884159, 0.001353343017399311, 0.001443208078853786, 0.003589256200939417, 0.0008577506523579359, 0.0009076262358576059, 0.0017602508887648582, 0.001450039679184556, 0.0008192472159862518, 0.0016814603004604578, 0.0004843024362344295, 0.008217504248023033, 0.0005964864976704121, 0.0007249314803630114, 0.007299758028239012, 0.0008952965144999325, 0.9567313194274902]"
🧏🏻‍♂️,deaf man: light skin tone,neutral,"[0.0048927441239356995, 0.0013624661369249225, 0.0020403973758220673, 0.009785118512809277, 0.03872324898838997, 0.001739080180414021, 0.0021953147370368242, 0.0009974378626793623, 0.0012670374708250165, 0.01069451030343771, 0.0048692193813622, 0.006998368073254824, 0.0018206891836598516, 0.0006698354845866561, 0.0035875632893294096, 0.0007173683261498809, 0.0011930572800338268, 0.0008706896333023906, 0.0016201972030103207, 0.0008830273291096091, 0.0022825023625046015, 0.0005212418618611991, 0.01859491877257824, 0.0007859999313950539, 0.0013032249407842755, 0.01397665124386549, 0.0005621539894491434, 0.9297581315040588]"
🧏🏼‍♂️,deaf man: medium-light skin tone,neutral,"[0.004702229518443346, 0.0015050151851028204, 0.0023318901658058167, 0.010627147741615772, 0.02926407940685749, 0.0018157883314415812, 0.0018069141078740358, 0.0009486285853199661, 0.0013334532268345356, 0.010164085775613785, 0.004525428172200918, 0.007200776133686304, 0.0017879765946418047, 0.0008132790098898113, 0.0039108130149543285, 0.0007392956176772714, 0.0011803804663941264, 0.0009934954578056931, 0.0015659454511478543, 0.0009056255803443491, 0.0020794107113033533, 0.0005113558727316558, 0.014736226759850979, 0.0007557444041594863, 0.0011068453313782811, 0.012382046319544315, 0.0006432054797187448, 0.9429920315742493]"
🧏🏽‍♂️,deaf man: medium skin tone,neutral,"[0.004849771037697792, 0.0013873818097636104, 0.0020978334359824657, 0.00949640478938818, 0.03118380717933178, 0.0018299974035471678, 0.0021175064612179995, 0.00107036461122334, 0.001317292801104486, 0.009767568670213223, 0.004304570145905018, 0.0068660397082567215, 0.001717255567200482, 0.0007783148321323097, 0.003997706342488527, 0.0007827202207408845, 0.001198443933390081, 0.000972880341578275, 0.0016216294607147574, 0.0009133871062658727, 0.002120234305039048, 0.0005151680088602006, 0.014688505791127682, 0.0007595905917696655, 0.001202857936732471, 0.013030223548412323, 0.0006276849890127778, 0.93889981508255]"
🧏🏾‍♂️,deaf man: medium-dark skin tone,neutral,"[0.004558653570711613, 0.001611231593415141, 0.0020500468090176582, 0.00997551903128624, 0.0325811542570591, 0.0019857867155224085, 0.00204138970002532, 0.0010914405575022101, 0.0014569992199540138, 0.00982707180082798, 0.0043610380962491035, 0.007995041087269783, 0.001802625134587288, 0.0007808964001014829, 0.004222733899950981, 0.0007033876609057188, 0.0012863813899457455, 0.001027111429721117, 0.0017805995885282755, 0.0010091306176036596, 0.002005921211093664, 0.0005070912884548306, 0.015582350082695484, 0.0008221023599617183, 0.0011715820292010903, 0.014631315134465694, 0.0006099057500250638, 0.9342740774154663]"
🧏🏿‍♂️,deaf man: dark skin tone,neutral,"[0.004516170360147953, 0.001388239674270153, 0.0021535134874284267, 0.010163414292037487, 0.04123612865805626, 0.002264932030811906, 0.0024141899775713682, 0.0011032551992684603, 0.0013516016770154238, 0.012479876168072224, 0.004761068616062403, 0.00770475622266531, 0.0021165148355066776, 0.0006102421320974827, 0.004417065531015396, 0.0006901828455738723, 0.0016179255908355117, 0.0009301326354034245, 0.0018357856897637248, 0.0012011851649731398, 0.0021729408763349056, 0.0005422919639386237, 0.021389108151197433, 0.0009572287672199309, 0.0016787354834377766, 0.023944687098264694, 0.0005665189237333834, 0.9118055105209351]"
🧏‍♀️,deaf woman,neutral,"[0.0038428502157330513, 0.0016002024058252573, 0.0025102896615862846, 0.009539497084915638, 0.02049821801483631, 0.0015986260259523988, 0.002777427900582552, 0.0013076625764369965, 0.0010770668741315603, 0.009337034076452255, 0.0038829471450299025, 0.006254618056118488, 0.002224069321528077, 0.000868782342877239, 0.004974449053406715, 0.0007546055130660534, 0.001526911393739283, 0.0013666404411196709, 0.0014492018381133676, 0.0013356934068724513, 0.001731988857500255, 0.000512745464220643, 0.015065445564687252, 0.0008251608232967556, 0.0011263180058449507, 0.016713863238692284, 0.0010270753409713507, 0.9286501407623291]"
🧏🏻‍♀️,deaf woman: light skin tone,neutral,"[0.005008425563573837, 0.0012764660641551018, 0.001984213013201952, 0.009548665024340153, 0.042771220207214355, 0.0019826216157525778, 0.0024575842544436455, 0.0010343474568799138, 0.0011746152304112911, 0.012365682981908321, 0.005359141621738672, 0.006841428577899933, 0.0021656372118741274, 0.0005979927373118699, 0.004236621782183647, 0.0007378886803053319, 0.0014427532441914082, 0.0008755685994401574, 0.0015717624919489026, 0.001126355491578579, 0.002352593932300806, 0.0005630328669212759, 0.02289498597383499, 0.0009407120523974299, 0.0015879423590376973, 0.01845092698931694, 0.0005877014482393861, 0.917334258556366]"
🧏🏼‍♀️,deaf woman: medium-light skin tone,neutral,"[0.005013037472963333, 0.0013577071949839592, 0.002090458758175373, 0.009272669441998005, 0.033460598438978195, 0.0018842816352844238, 0.0021226450335234404, 0.0009960533352568746, 0.0012321567628532648, 0.010296992026269436, 0.004674671217799187, 0.00646881153807044, 0.0018594716675579548, 0.0007353110704571009, 0.004113086964935064, 0.0008006804273463786, 0.0012798071838915348, 0.0009682858944870532, 0.0014884674455970526, 0.0009971339022740722, 0.002202410949394107, 0.0005318332114256918, 0.01759902946650982, 0.0008351423894055188, 0.0012119516031816602, 0.013728147372603416, 0.0006591895362362266, 0.9360993504524231]"
🧏🏽‍♀️,deaf woman: medium skin tone,neutral,"[0.004850353114306927, 0.0012411021161824465, 0.0019014785066246986, 0.008703452534973621, 0.03662191703915596, 0.001896512694656849, 0.0025226357392966747, 0.0010998599464073777, 0.0011408703867346048, 0.010124660097062588, 0.004834617488086224, 0.006326373666524887, 0.0019141830271109939, 0.0006747442530468106, 0.004340900108218193, 0.0008029462187550962, 0.0012612267164513469, 0.0009489869698882103, 0.0014759704936295748, 0.001045459066517651, 0.0022235740907490253, 0.0005423190305009484, 0.0182466059923172, 0.0008642033790238202, 0.0013160851085558534, 0.014011482708156109, 0.0006390442722477019, 0.9285548329353333]"
🧏🏾‍♀️,deaf woman: medium-dark skin tone,neutral,"[0.005026513244956732, 0.0014573711669072509, 0.001895753899589181, 0.008767079561948776, 0.0373515710234642, 0.002024340908974409, 0.00242918380536139, 0.001106003182940185, 0.0013508282136172056, 0.010628841817378998, 0.004689476918429136, 0.007164202630519867, 0.0019762737210839987, 0.000710426305886358, 0.004665873479098082, 0.0007675209199078381, 0.0014946067240089178, 0.0010189341846853495, 0.0017227664357051253, 0.0011597013799473643, 0.002166836056858301, 0.0005568837514147162, 0.019970687106251717, 0.0009395942324772477, 0.0013629270251840353, 0.017657361924648285, 0.0006473775720223784, 0.9250361323356628]"
🧏🏿‍♀️,deaf woman: dark skin tone,neutral,"[0.004939225036650896, 0.0013105259276926517, 0.002038046717643738, 0.009437648579478264, 0.04880831763148308, 0.0023794022854417562, 0.002842681249603629, 0.0011563953012228012, 0.0012723053805530071, 0.013571830466389656, 0.005220113322138786, 0.007437487132847309, 0.002447959966957569, 0.0005639330483973026, 0.004908630158752203, 0.0007063325610943139, 0.0018858613912016153, 0.0009391274070367217, 0.0018759481608867645, 0.0014221837045624852, 0.002285653492435813, 0.000596609606873244, 0.02756449021399021, 0.0011148289777338505, 0.001952962251380086, 0.028815874829888344, 0.0006042977329343557, 0.8943489789962769]"
🙇,person bowing,neutral,"[0.003110731951892376, 0.0018909170757979155, 0.0048406776040792465, 0.010842086747288704, 0.0096147321164608, 0.0016666218871250749, 0.0021658383775502443, 0.0011565518798306584, 0.001293557696044445, 0.004453958012163639, 0.00485450541600585, 0.0030067290645092726, 0.0009208776173181832, 0.0014905480202287436, 0.002322317101061344, 0.0011666540522128344, 0.0006123074563220143, 0.0015587912639603019, 0.0009436893160454929, 0.0004923752276226878, 0.0022011655382812023, 0.0003870080690830946, 0.005063662771135569, 0.00037804804742336273, 0.0004964792169630527, 0.0033826723229140043, 0.0008989678462967277, 0.968268871307373]"
🙇🏻,person bowing: light skin tone,neutral,"[0.004959524143487215, 0.002205688739195466, 0.002956333803012967, 0.006630664225667715, 0.012661426328122616, 0.0013597505167126656, 0.00240806071087718, 0.0014871193561702967, 0.0013394468696787953, 0.003799930214881897, 0.0031754046212881804, 0.0031055917497724295, 0.001068530254997313, 0.0024097233545035124, 0.0022954544983804226, 0.001547752763144672, 0.0006921935710124671, 0.002135771093890071, 0.0015248575946316123, 0.00048454070929437876, 0.0019370809895917773, 0.0005356199690140784, 0.006080737337470055, 0.0004658835823647678, 0.000602338055614382, 0.0033055576495826244, 0.001199483871459961, 0.969692051410675]"
🙇🏼,person bowing: medium-light skin tone,neutral,"[0.005273694172501564, 0.0020789585541933775, 0.0025775590911507607, 0.0061307200230658054, 0.01462921965867281, 0.0013186170253902674, 0.0023029055446386337, 0.00140491989441216, 0.0012536286376416683, 0.003837195923551917, 0.003200551960617304, 0.0031682399567216635, 0.0010446103988215327, 0.0022118347696959972, 0.0022921699564903975, 0.0014648003270849586, 0.0006672610761597753, 0.0019710888154804707, 0.0015546029899269342, 0.0004788894148077816, 0.001999607076868415, 0.0005248408997431397, 0.006671199109405279, 0.00046840572031214833, 0.00061518739676103, 0.0032802363857626915, 0.001123046618886292, 0.9685737490653992]"
🙇🏽,person bowing: medium skin tone,neutral,"[0.004637045320123434, 0.0021874322555959225, 0.0030370494350790977, 0.006804717238992453, 0.01245904341340065, 0.0013325929176062346, 0.0024664681404829025, 0.0014596246182918549, 0.0012490268563851714, 0.0038954736664891243, 0.0035283637698739767, 0.003054766682907939, 0.001062764786183834, 0.002281695604324341, 0.0022962356451898813, 0.0014843718381598592, 0.0006747786537744105, 0.0020652657840400934, 0.0014367204857990146, 0.00048086410970427096, 0.001915688393637538, 0.0005097147077322006, 0.0060461461544036865, 0.0004547649878077209, 0.0005813143798150122, 0.0032374816946685314, 0.0011927713640034199, 0.969729483127594]"
🙇🏾,person bowing: medium-dark skin tone,neutral,"[0.0052660005167126656, 0.002113322727382183, 0.002389051951467991, 0.0056618754751980305, 0.01501360535621643, 0.0012503559701144695, 0.0023672995157539845, 0.0014274080749601126, 0.0012430927017703652, 0.003710017306730151, 0.00306133390404284, 0.0029821665957570076, 0.0009927606442943215, 0.0022881028708070517, 0.002233589766547084, 0.0014788820408284664, 0.0006473165703937411, 0.0020404313690960407, 0.0016000301111489534, 0.0004701588477473706, 0.0019830036908388138, 0.0005173138924874365, 0.006756333168596029, 0.00046809599734842777, 0.0005849258159287274, 0.003157258266583085, 0.0011375356698408723, 0.9677248001098633]"
🙇🏿,person bowing: dark skin tone,neutral,"[0.004509842488914728, 0.0021075888071209192, 0.0030844456050544977, 0.007119880989193916, 0.012103207409381866, 0.0013548912247642875, 0.0025153369642794132, 0.0014928955351933837, 0.001260849996469915, 0.004044691566377878, 0.003460689214989543, 0.0032173360232263803, 0.0011460979003459215, 0.002114847768098116, 0.002475421642884612, 0.0014853919856250286, 0.0006981378537602723, 0.0018528426298871636, 0.0013519362546503544, 0.000506813928950578, 0.001962976297363639, 0.0004983332473784685, 0.006404303479939699, 0.00044995665666647255, 0.000609898183029145, 0.003395759966224432, 0.0012209673877805471, 0.9696547985076904]"
🙇‍♂️,man bowing,neutral,"[0.0035952420439571142, 0.002224766882136464, 0.00514548784121871, 0.011356230825185776, 0.008854914456605911, 0.001727639464661479, 0.0021712894085794687, 0.0012317965738475323, 0.001267086947336793, 0.004235710483044386, 0.004222032148391008, 0.003459893399849534, 0.0010688772890716791, 0.0017063363920897245, 0.0024731347803026438, 0.0011765032541006804, 0.0006260653026401997, 0.0017403456149622798, 0.0009862666483968496, 0.0005385135882534087, 0.0021283298265188932, 0.00044465259998105466, 0.004755908623337746, 0.000404925987822935, 0.0005205366178415716, 0.0032651734072715044, 0.0010310220532119274, 0.9687139987945557]"
🙇🏻‍♂️,man bowing: light skin tone,neutral,"[0.006009676959365606, 0.0021058644633740187, 0.002693956485018134, 0.006021729204803705, 0.01432257704436779, 0.0013337269192561507, 0.002483982127159834, 0.0014233521651476622, 0.001255855313502252, 0.003854379989206791, 0.003112048376351595, 0.0031778463162481785, 0.0010453530121594667, 0.0023583758156746626, 0.002390108071267605, 0.001538443029858172, 0.0006910667871125042, 0.002042056992650032, 0.0016488016117364168, 0.0004942212835885584, 0.002044662367552519, 0.0005641499301418662, 0.006517913192510605, 0.00047856930177658796, 0.0006376724340952933, 0.003290016669780016, 0.0011829055147245526, 0.9688099026679993]"
🙇🏼‍♂️,man bowing: medium-light skin tone,neutral,"[0.006573749240487814, 0.0019289054907858372, 0.00238899071700871, 0.005695398431271315, 0.016683131456375122, 0.001297809649258852, 0.0022697127424180508, 0.0013121732044965029, 0.0012328170705586672, 0.0038559474050998688, 0.0031429182272404432, 0.003410845994949341, 0.0009926537750288844, 0.0020756132435053587, 0.002368345856666565, 0.0014964686706662178, 0.0006597604951821268, 0.0017733457498252392, 0.0017305867513641715, 0.00047374589485116303, 0.002141478704288602, 0.0005409796140156686, 0.006972865667194128, 0.0004694910894613713, 0.0006374761578626931, 0.0032883002422749996, 0.001069116173312068, 0.9668263792991638]"
🙇🏽‍♂️,man bowing: medium skin tone,neutral,"[0.006342039909213781, 0.0019591276068240404, 0.0026216479018330574, 0.005937378853559494, 0.015270375646650791, 0.0013040687190368772, 0.002482521114870906, 0.0014176989207044244, 0.001223452272824943, 0.0038716134149581194, 0.0031276498921215534, 0.003265013685449958, 0.00099686358589679, 0.002197090070694685, 0.0023962578270584345, 0.0015316972276195884, 0.000670695910230279, 0.0018885084427893162, 0.001692141406238079, 0.0004778843722306192, 0.0020713098347187042, 0.0005490561597980559, 0.006504784803837538, 0.00046708242734894156, 0.0006054127006791532, 0.0032465236727148294, 0.001134161022491753, 0.9680925607681274]"
🙇🏾‍♂️,man bowing: medium-dark skin tone,neutral,"[0.006548049859702587, 0.0019123710226267576, 0.0021353778429329395, 0.005070160608738661, 0.017561929300427437, 0.0012060283916071057, 0.0024413203354924917, 0.0014124081935733557, 0.0012464462779462337, 0.0035634655505418777, 0.002820719499140978, 0.003156170481815934, 0.0009112490806728601, 0.0021419452968984842, 0.0022303012665361166, 0.0015017848927527666, 0.0006200888892635703, 0.0017781893257051706, 0.0018189161783084273, 0.00045014949864707887, 0.0021957303397357464, 0.0005190200754441321, 0.007062360644340515, 0.00045338255586102605, 0.0006056169513612986, 0.00304874824360013, 0.0010755531257018447, 0.965620756149292]"
🙇🏿‍♂️,man bowing: dark skin tone,neutral,"[0.005589373409748077, 0.001967355143278837, 0.002719348995015025, 0.006270894780755043, 0.014196665026247501, 0.0013472788268700242, 0.002579647582024336, 0.0014788229018449783, 0.0012408934999257326, 0.003972598351538181, 0.0030930188950151205, 0.0033534502144902945, 0.0011056745424866676, 0.0020971198100596666, 0.0025411583483219147, 0.0015272945165634155, 0.0007032318389974535, 0.0017530323239043355, 0.001571213942952454, 0.0005030736792832613, 0.0021237542387098074, 0.0005303864600136876, 0.006886988878250122, 0.00045870343456044793, 0.0006643045926466584, 0.0033886737655848265, 0.0012020024005323648, 0.9683319330215454]"
